S.no,vegetable_name,date,Unit,min_price,max_price,modal_price
196041,Tomato Small(Local),5/1/2021,Kg,20,25,22.5
196042,Tomato Small(Tunnel),5/1/2021,Kg,20,25,22.5
196043,Tomato Small(Indian),5/1/2021,KG,20,25,22.5
196044,Tomato Small(Terai),5/1/2021,KG,20,25,22.5
196045,Potato Red,5/1/2021,Kg,40,50,45
196046,Potato Red(Indian),5/1/2021,KG,30,35,32.5
196047,Onion Dry (Indian),5/1/2021,Kg,40,42,41
196048,Carrot(Local),5/1/2021,Kg,50,60,55
196049,Cabbage(Local),5/1/2021,Kg,30,35,32.5
196050,Cauli Local,5/1/2021,Kg,30,40,35
196051,Cauli Local(Jyapu),5/1/2021,Kg,40,50,45
196052,Raddish White(Local),5/1/2021,Kg,30,40,35
196053,Raddish White(Hybrid),5/1/2021,Kg,40,50,45
196054,Brinjal Long,5/1/2021,Kg,20,30,25
196055,Cow pea(Long),5/1/2021,Kg,40,50,45
196056,Green Peas,5/1/2021,Kg,150,160,155
196057,French Bean(Local),5/1/2021,Kg,40,50,45
196058,French Bean(Rajma),5/1/2021,Kg,60,70,65
196059,Bitter Gourd,5/1/2021,Kg,40,50,45
196060,Bottle Gourd,5/1/2021,Kg,25,30,27.5
196061,Pointed Gourd(Local),5/1/2021,Kg,80,90,85
196062,Pointed Gourd(Terai),5/1/2021,Kg,70,80,75
196063,Snake Gourd,5/1/2021,Kg,50,60,55
196064,Smooth Gourd,5/1/2021,Kg,50,60,55
196065,Pumpkin,5/1/2021,Kg,30,35,32.5
196066,Squash(Long),5/1/2021,Kg,30,40,35
196067,Okara,5/1/2021,Kg,60,70,65
196068,Barela,5/1/2021,Kg,60,70,65
196069,Brd Leaf Mustard,5/1/2021,Kg,30,40,35
196070,Spinach Leaf,5/1/2021,Kg,60,70,65
196071,Cress Leaf,5/1/2021,Kg,60,70,65
196072,Mustard Leaf,5/1/2021,Kg,30,40,35
196073,Fenugreek Leaf,5/1/2021,Kg,60,70,65
196074,Onion Green,5/1/2021,Kg,80,90,85
196075,Mushroom(Kanya),5/1/2021,Kg,120,150,135
196076,Mushroom(Button),5/1/2021,KG,280,300,290
196077,Asparagus,5/1/2021,Kg,500,600,550
196078,Neuro,5/1/2021,Kg,80,90,85
196079,Brocauli,5/1/2021,Kg,70,80,75
196080,Sugarbeet,5/1/2021,Kg,60,70,65
196081,Lettuce,5/1/2021,Kg,50,60,55
196082,Celery,5/1/2021,Kg,80,90,85
196083,Fennel Leaf,5/1/2021,Kg,60,70,65
196084,Tamarind,5/1/2021,Kg,150,160,155
196085,Bamboo Shoot,5/1/2021,Kg,90,100,95
196086,Tofu,5/1/2021,Kg,90,100,95
196087,Apple(Fuji),5/1/2021,KG,280,300,290
196088,Banana,5/1/2021,Doz,110,120,115
196089,Lime,5/1/2021,Kg,240,260,250
196090,Pomegranate,5/1/2021,Kg,250,300,275
196091,Mango(Maldah),5/1/2021,Kg,60,70,65
196092,Mango(Calcutte),5/1/2021,Kg,120,140,130
196093,Grapes(Green),5/1/2021,Kg,220,250,235
196094,Grapes(Black),5/1/2021,Kg,300,350,325
196095,Orange(Indian),5/1/2021,Kg,190,200,195
196096,Water Melon(Green),5/1/2021,Kg,40,45,42.5
196097,Pineapple,5/1/2021,1 Pc,120,130,125
196098,Cucumber(Local),5/1/2021,Kg,60,70,65
196099,Cucumber(Hybrid),5/1/2021,KG,25,30,27.5
196100,Jack Fruit,5/1/2021,Kg,50,60,55
196101,Pear(Chinese),5/1/2021,Kg,260,270,265
196102,Papaya(Indian),5/1/2021,Kg,100,120,110
196103,Ginger,5/1/2021,Kg,70,90,80
196104,Chilli Dry,5/1/2021,Kg,320,340,330
196105,Chilli Green,5/1/2021,Kg,50,60,55
196106,Chilli Green(Bullet),5/1/2021,KG,50,60,55
196107,Chilli Green(Machhe),5/1/2021,KG,70,80,75
196108,Chilli Green(Akbare),5/1/2021,KG,180,200,190
196109,Capsicum,5/1/2021,Kg,60,80,70
196110,Garlic Green,5/1/2021,Kg,60,70,65
196111,Coriander Green,5/1/2021,Kg,80,90,85
196112,Garlic Dry Chinese,5/1/2021,Kg,240,250,245
196113,Garlic Dry Nepali,5/1/2021,Kg,100,120,110
196114,Fish Fresh(Rahu),5/1/2021,KG,270,280,275
196115,Fish Fresh(Bachuwa),5/1/2021,KG,225,235,230
196116,Fish Fresh(Chhadi),5/1/2021,KG,220,230,225
196117,Fish Fresh(Mungari),5/1/2021,KG,210,220,215
196118,Tomato Big(Nepali),5/2/2021,Kg,25,30,27.5
196119,Tomato Big(Indian),5/2/2021,Kg,25,30,27.5
196120,Tomato Small(Local),5/2/2021,Kg,25,30,27.5
196121,Tomato Small(Tunnel),5/2/2021,Kg,25,30,27.5
196122,Tomato Small(Indian),5/2/2021,KG,20,25,22.5
196123,Tomato Small(Terai),5/2/2021,KG,20,25,22.5
196124,Potato Red,5/2/2021,Kg,40,45,42.5
196125,Potato Red(Indian),5/2/2021,KG,30,35,32.5
196126,Potato White,5/2/2021,Kg,35,40,37.5
196127,Onion Dry (Indian),5/2/2021,Kg,40,45,42.5
196128,Carrot(Local),5/2/2021,Kg,50,60,55
196129,Carrot(Terai),5/2/2021,Kg,50,60,55
196130,Cabbage(Local),5/2/2021,Kg,30,35,32.5
